sample_id,cell_id,compound_id,subtype,oncotree_lineage,role
S072297,CL0348,CMP0201,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072298,CL0348,CMP0202,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072299,CL0348,CMP0203,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072300,CL0348,CMP0204,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072302,CL0348,CMP0206,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072303,CL0348,CMP0207,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072304,CL0348,CMP0208,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072305,CL0348,CMP0209,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072306,CL0348,CMP0210,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072307,CL0348,CMP0211,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072309,CL0348,CMP0213,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072310,CL0348,CMP0214,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072311,CL0348,CMP0215,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072312,CL0348,CMP0216,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072313,CL0348,CMP0217,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072314,CL0348,CMP0218,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072315,CL0348,CMP0219,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072316,CL0348,CMP0220,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072317,CL0348,CMP0221,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072318,CL0348,CMP0222,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072319,CL0348,CMP0223,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072320,CL0348,CMP0224,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072322,CL0348,CMP0226,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072325,CL0348,CMP0229,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072326,CL0348,CMP0231,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072327,CL0348,CMP0232,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072328,CL0348,CMP0233,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072329,CL0348,CMP0234,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072330,CL0348,CMP0237,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072331,CL0348,CMP0238,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072335,CL0348,CMP0242,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S072514,CL0350,CMP0001,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072515,CL0350,CMP0002,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072516,CL0350,CMP0003,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072517,CL0350,CMP0004,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072518,CL0350,CMP0005,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072519,CL0350,CMP0006,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072520,CL0350,CMP0008,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072521,CL0350,CMP0009,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072522,CL0350,CMP0010,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072525,CL0350,CMP0013,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072526,CL0350,CMP0014,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072527,CL0350,CMP0015,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072528,CL0350,CMP0016,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072529,CL0350,CMP0017,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072530,CL0350,CMP0018,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072531,CL0350,CMP0019,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072532,CL0350,CMP0020,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072533,CL0350,CMP0021,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072534,CL0350,CMP0022,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072535,CL0350,CMP0023,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072536,CL0350,CMP0024,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072538,CL0350,CMP0027,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072539,CL0350,CMP0028,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072540,CL0350,CMP0029,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072541,CL0350,CMP0030,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072543,CL0350,CMP0034,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072544,CL0350,CMP0035,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072545,CL0350,CMP0036,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072546,CL0350,CMP0037,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072547,CL0350,CMP0038,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072548,CL0350,CMP0039,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072549,CL0350,CMP0040,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072550,CL0350,CMP0041,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072551,CL0350,CMP0042,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072552,CL0350,CMP0043,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072553,CL0350,CMP0044,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072554,CL0350,CMP0045,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072555,CL0350,CMP0046,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072556,CL0350,CMP0047,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072557,CL0350,CMP0048,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072558,CL0350,CMP0049,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072559,CL0350,CMP0050,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072562,CL0350,CMP0053,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072563,CL0350,CMP0054,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072564,CL0350,CMP0055,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072565,CL0350,CMP0056,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072566,CL0350,CMP0057,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072567,CL0350,CMP0058,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072568,CL0350,CMP0059,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072569,CL0350,CMP0060,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072570,CL0350,CMP0061,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072571,CL0350,CMP0062,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072572,CL0350,CMP0063,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072573,CL0350,CMP0064,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072574,CL0350,CMP0067,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072575,CL0350,CMP0068,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072576,CL0350,CMP0069,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072577,CL0350,CMP0070,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072578,CL0350,CMP0072,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072579,CL0350,CMP0073,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072580,CL0350,CMP0074,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072581,CL0350,CMP0075,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072582,CL0350,CMP0076,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072583,CL0350,CMP0077,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072585,CL0350,CMP0081,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072586,CL0350,CMP0082,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072587,CL0350,CMP0083,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072588,CL0350,CMP0085,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072589,CL0350,CMP0086,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072590,CL0350,CMP0087,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072592,CL0350,CMP0089,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072593,CL0350,CMP0090,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072594,CL0350,CMP0091,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072595,CL0350,CMP0092,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072596,CL0350,CMP0093,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072597,CL0350,CMP0094,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072598,CL0350,CMP0095,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072599,CL0350,CMP0096,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072600,CL0350,CMP0097,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072601,CL0350,CMP0098,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072602,CL0350,CMP0100,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072603,CL0350,CMP0101,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072605,CL0350,CMP0103,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072606,CL0350,CMP0104,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072607,CL0350,CMP0105,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072608,CL0350,CMP0106,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072610,CL0350,CMP0108,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072611,CL0350,CMP0109,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072612,CL0350,CMP0110,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072614,CL0350,CMP0112,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072615,CL0350,CMP0113,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072616,CL0350,CMP0114,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072617,CL0350,CMP0115,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072618,CL0350,CMP0116,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072619,CL0350,CMP0117,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072620,CL0350,CMP0118,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072621,CL0350,CMP0119,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072623,CL0350,CMP0121,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072624,CL0350,CMP0122,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072625,CL0350,CMP0123,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072626,CL0350,CMP0124,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072627,CL0350,CMP0125,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072628,CL0350,CMP0126,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072629,CL0350,CMP0127,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072630,CL0350,CMP0128,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072631,CL0350,CMP0129,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072632,CL0350,CMP0130,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072633,CL0350,CMP0131,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072635,CL0350,CMP0133,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072636,CL0350,CMP0134,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072637,CL0350,CMP0135,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072639,CL0350,CMP0137,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072640,CL0350,CMP0138,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072641,CL0350,CMP0139,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072643,CL0350,CMP0141,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072644,CL0350,CMP0142,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072645,CL0350,CMP0143,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072646,CL0350,CMP0144,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072647,CL0350,CMP0145,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072648,CL0350,CMP0146,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072652,CL0350,CMP0150,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072653,CL0350,CMP0151,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072655,CL0350,CMP0153,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072656,CL0350,CMP0154,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072657,CL0350,CMP0155,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072658,CL0350,CMP0156,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072659,CL0350,CMP0157,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072660,CL0350,CMP0158,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072661,CL0350,CMP0159,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072662,CL0350,CMP0160,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072663,CL0350,CMP0161,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072664,CL0350,CMP0162,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072665,CL0350,CMP0163,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072667,CL0350,CMP0165,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072668,CL0350,CMP0166,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072669,CL0350,CMP0167,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072670,CL0350,CMP0168,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072671,CL0350,CMP0169,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072672,CL0350,CMP0170,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072673,CL0350,CMP0171,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072674,CL0350,CMP0172,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072675,CL0350,CMP0173,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072677,CL0350,CMP0175,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072678,CL0350,CMP0176,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072679,CL0350,CMP0177,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072680,CL0350,CMP0178,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072681,CL0350,CMP0179,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072682,CL0350,CMP0180,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072683,CL0350,CMP0181,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072684,CL0350,CMP0182,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072685,CL0350,CMP0183,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072687,CL0350,CMP0185,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072688,CL0350,CMP0186,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072689,CL0350,CMP0187,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072690,CL0350,CMP0188,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072691,CL0350,CMP0189,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072692,CL0350,CMP0190,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072693,CL0350,CMP0191,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072694,CL0350,CMP0192,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072695,CL0350,CMP0193,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072696,CL0350,CMP0194,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072697,CL0350,CMP0195,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072698,CL0350,CMP0196,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072699,CL0350,CMP0197,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072702,CL0350,CMP0200,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072703,CL0350,CMP0201,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072704,CL0350,CMP0202,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072705,CL0350,CMP0203,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072706,CL0350,CMP0204,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072708,CL0350,CMP0206,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072709,CL0350,CMP0207,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072710,CL0350,CMP0208,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072711,CL0350,CMP0209,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072712,CL0350,CMP0210,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072713,CL0350,CMP0211,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072715,CL0350,CMP0213,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072716,CL0350,CMP0214,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072717,CL0350,CMP0215,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072718,CL0350,CMP0216,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072719,CL0350,CMP0218,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072720,CL0350,CMP0219,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072721,CL0350,CMP0220,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072722,CL0350,CMP0221,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072723,CL0350,CMP0222,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072724,CL0350,CMP0223,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072725,CL0350,CMP0224,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072727,CL0350,CMP0226,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072730,CL0350,CMP0229,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072731,CL0350,CMP0231,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072732,CL0350,CMP0232,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072733,CL0350,CMP0233,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072734,CL0350,CMP0234,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072735,CL0350,CMP0237,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072736,CL0350,CMP0238,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072740,CL0350,CMP0242,Esophageal Adenocarcinoma,Esophagus/Stomach,train
S072741,CL0351,CMP0001,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072742,CL0351,CMP0002,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072743,CL0351,CMP0003,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072744,CL0351,CMP0004,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072745,CL0351,CMP0005,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072746,CL0351,CMP0006,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072747,CL0351,CMP0008,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072748,CL0351,CMP0009,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072749,CL0351,CMP0010,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072752,CL0351,CMP0013,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072753,CL0351,CMP0014,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072754,CL0351,CMP0015,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072755,CL0351,CMP0016,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072756,CL0351,CMP0017,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072757,CL0351,CMP0018,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072758,CL0351,CMP0019,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072759,CL0351,CMP0020,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072760,CL0351,CMP0021,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072761,CL0351,CMP0022,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072762,CL0351,CMP0023,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072763,CL0351,CMP0024,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072765,CL0351,CMP0027,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072766,CL0351,CMP0028,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072767,CL0351,CMP0029,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072768,CL0351,CMP0030,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072770,CL0351,CMP0034,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072771,CL0351,CMP0035,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072772,CL0351,CMP0036,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072773,CL0351,CMP0037,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072774,CL0351,CMP0038,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072775,CL0351,CMP0039,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072776,CL0351,CMP0040,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072777,CL0351,CMP0041,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072778,CL0351,CMP0042,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072779,CL0351,CMP0043,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072780,CL0351,CMP0044,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072781,CL0351,CMP0045,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072782,CL0351,CMP0046,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072783,CL0351,CMP0047,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072784,CL0351,CMP0048,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072785,CL0351,CMP0049,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072786,CL0351,CMP0050,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072789,CL0351,CMP0053,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072790,CL0351,CMP0054,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072791,CL0351,CMP0055,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072792,CL0351,CMP0056,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072793,CL0351,CMP0057,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072794,CL0351,CMP0058,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072795,CL0351,CMP0059,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072796,CL0351,CMP0060,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072797,CL0351,CMP0061,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072798,CL0351,CMP0062,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072799,CL0351,CMP0063,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072800,CL0351,CMP0064,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072801,CL0351,CMP0067,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072802,CL0351,CMP0068,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072803,CL0351,CMP0070,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072804,CL0351,CMP0072,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072805,CL0351,CMP0073,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072806,CL0351,CMP0074,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072807,CL0351,CMP0075,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072808,CL0351,CMP0076,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072809,CL0351,CMP0077,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072811,CL0351,CMP0081,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072812,CL0351,CMP0082,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072813,CL0351,CMP0083,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072814,CL0351,CMP0086,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072815,CL0351,CMP0087,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072817,CL0351,CMP0089,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072818,CL0351,CMP0090,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072819,CL0351,CMP0091,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072820,CL0351,CMP0092,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072821,CL0351,CMP0093,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072822,CL0351,CMP0094,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072823,CL0351,CMP0095,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072824,CL0351,CMP0096,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072825,CL0351,CMP0097,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072826,CL0351,CMP0098,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072827,CL0351,CMP0100,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072828,CL0351,CMP0101,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072830,CL0351,CMP0103,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072831,CL0351,CMP0104,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072832,CL0351,CMP0105,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072833,CL0351,CMP0106,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072835,CL0351,CMP0108,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072836,CL0351,CMP0109,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072837,CL0351,CMP0110,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072839,CL0351,CMP0112,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
S072840,CL0351,CMP0113,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,train
