sample_id,cell_id,compound_id,cell_group,oncotree_lineage,role
S025423,CL0121,CMP0181,CG_CL0121,Ovary/Fallopian Tube,test
S025424,CL0121,CMP0182,CG_CL0121,Ovary/Fallopian Tube,test
S025425,CL0121,CMP0183,CG_CL0121,Ovary/Fallopian Tube,test
S025427,CL0121,CMP0185,CG_CL0121,Ovary/Fallopian Tube,test
S025428,CL0121,CMP0186,CG_CL0121,Ovary/Fallopian Tube,test
S025429,CL0121,CMP0187,CG_CL0121,Ovary/Fallopian Tube,test
S025430,CL0121,CMP0188,CG_CL0121,Ovary/Fallopian Tube,test
S025431,CL0121,CMP0189,CG_CL0121,Ovary/Fallopian Tube,test
S025432,CL0121,CMP0190,CG_CL0121,Ovary/Fallopian Tube,test
S025433,CL0121,CMP0191,CG_CL0121,Ovary/Fallopian Tube,test
S025434,CL0121,CMP0192,CG_CL0121,Ovary/Fallopian Tube,test
S025435,CL0121,CMP0193,CG_CL0121,Ovary/Fallopian Tube,test
S025436,CL0121,CMP0194,CG_CL0121,Ovary/Fallopian Tube,test
S025437,CL0121,CMP0195,CG_CL0121,Ovary/Fallopian Tube,test
S025438,CL0121,CMP0196,CG_CL0121,Ovary/Fallopian Tube,test
S025439,CL0121,CMP0197,CG_CL0121,Ovary/Fallopian Tube,test
S025442,CL0121,CMP0200,CG_CL0121,Ovary/Fallopian Tube,test
S025443,CL0121,CMP0201,CG_CL0121,Ovary/Fallopian Tube,test
S025444,CL0121,CMP0202,CG_CL0121,Ovary/Fallopian Tube,test
S025445,CL0121,CMP0203,CG_CL0121,Ovary/Fallopian Tube,test
S025446,CL0121,CMP0204,CG_CL0121,Ovary/Fallopian Tube,test
S025448,CL0121,CMP0206,CG_CL0121,Ovary/Fallopian Tube,test
S025449,CL0121,CMP0207,CG_CL0121,Ovary/Fallopian Tube,test
S025450,CL0121,CMP0208,CG_CL0121,Ovary/Fallopian Tube,test
S025451,CL0121,CMP0209,CG_CL0121,Ovary/Fallopian Tube,test
S025452,CL0121,CMP0210,CG_CL0121,Ovary/Fallopian Tube,test
S025453,CL0121,CMP0211,CG_CL0121,Ovary/Fallopian Tube,test
S025455,CL0121,CMP0213,CG_CL0121,Ovary/Fallopian Tube,test
S025456,CL0121,CMP0214,CG_CL0121,Ovary/Fallopian Tube,test
S025457,CL0121,CMP0215,CG_CL0121,Ovary/Fallopian Tube,test
S025458,CL0121,CMP0216,CG_CL0121,Ovary/Fallopian Tube,test
S025459,CL0121,CMP0218,CG_CL0121,Ovary/Fallopian Tube,test
S025460,CL0121,CMP0219,CG_CL0121,Ovary/Fallopian Tube,test
S025461,CL0121,CMP0220,CG_CL0121,Ovary/Fallopian Tube,test
S025462,CL0121,CMP0221,CG_CL0121,Ovary/Fallopian Tube,test
S025463,CL0121,CMP0222,CG_CL0121,Ovary/Fallopian Tube,test
S025464,CL0121,CMP0223,CG_CL0121,Ovary/Fallopian Tube,test
S025465,CL0121,CMP0224,CG_CL0121,Ovary/Fallopian Tube,test
S025467,CL0121,CMP0226,CG_CL0121,Ovary/Fallopian Tube,test
S025470,CL0121,CMP0229,CG_CL0121,Ovary/Fallopian Tube,test
S025471,CL0121,CMP0231,CG_CL0121,Ovary/Fallopian Tube,test
S025472,CL0121,CMP0232,CG_CL0121,Ovary/Fallopian Tube,test
S025473,CL0121,CMP0233,CG_CL0121,Ovary/Fallopian Tube,test
S025474,CL0121,CMP0234,CG_CL0121,Ovary/Fallopian Tube,test
S025475,CL0121,CMP0237,CG_CL0121,Ovary/Fallopian Tube,test
S025476,CL0121,CMP0238,CG_CL0121,Ovary/Fallopian Tube,test
S025480,CL0121,CMP0242,CG_CL0121,Ovary/Fallopian Tube,test
S025707,CL0123,CMP0001,CG_CL0123,CNS/Brain,test
S025708,CL0123,CMP0002,CG_CL0123,CNS/Brain,test
S025709,CL0123,CMP0003,CG_CL0123,CNS/Brain,test
S025710,CL0123,CMP0004,CG_CL0123,CNS/Brain,test
S025711,CL0123,CMP0005,CG_CL0123,CNS/Brain,test
S025712,CL0123,CMP0006,CG_CL0123,CNS/Brain,test
S025713,CL0123,CMP0008,CG_CL0123,CNS/Brain,test
S025714,CL0123,CMP0009,CG_CL0123,CNS/Brain,test
S025715,CL0123,CMP0010,CG_CL0123,CNS/Brain,test
S025718,CL0123,CMP0013,CG_CL0123,CNS/Brain,test
S025719,CL0123,CMP0014,CG_CL0123,CNS/Brain,test
S025720,CL0123,CMP0015,CG_CL0123,CNS/Brain,test
S025721,CL0123,CMP0016,CG_CL0123,CNS/Brain,test
S025722,CL0123,CMP0017,CG_CL0123,CNS/Brain,test
S025723,CL0123,CMP0018,CG_CL0123,CNS/Brain,test
S025724,CL0123,CMP0019,CG_CL0123,CNS/Brain,test
S025725,CL0123,CMP0020,CG_CL0123,CNS/Brain,test
S025726,CL0123,CMP0021,CG_CL0123,CNS/Brain,test
S025727,CL0123,CMP0022,CG_CL0123,CNS/Brain,test
S025728,CL0123,CMP0023,CG_CL0123,CNS/Brain,test
S025729,CL0123,CMP0024,CG_CL0123,CNS/Brain,test
S025731,CL0123,CMP0027,CG_CL0123,CNS/Brain,test
S025732,CL0123,CMP0028,CG_CL0123,CNS/Brain,test
S025733,CL0123,CMP0029,CG_CL0123,CNS/Brain,test
S025734,CL0123,CMP0030,CG_CL0123,CNS/Brain,test
S025736,CL0123,CMP0034,CG_CL0123,CNS/Brain,test
S025737,CL0123,CMP0035,CG_CL0123,CNS/Brain,test
S025738,CL0123,CMP0036,CG_CL0123,CNS/Brain,test
S025739,CL0123,CMP0037,CG_CL0123,CNS/Brain,test
S025740,CL0123,CMP0038,CG_CL0123,CNS/Brain,test
S025741,CL0123,CMP0039,CG_CL0123,CNS/Brain,test
S025742,CL0123,CMP0040,CG_CL0123,CNS/Brain,test
S025743,CL0123,CMP0041,CG_CL0123,CNS/Brain,test
S025744,CL0123,CMP0042,CG_CL0123,CNS/Brain,test
S025745,CL0123,CMP0043,CG_CL0123,CNS/Brain,test
S025746,CL0123,CMP0044,CG_CL0123,CNS/Brain,test
S025747,CL0123,CMP0045,CG_CL0123,CNS/Brain,test
S025748,CL0123,CMP0046,CG_CL0123,CNS/Brain,test
S025749,CL0123,CMP0047,CG_CL0123,CNS/Brain,test
S025750,CL0123,CMP0048,CG_CL0123,CNS/Brain,test
S025751,CL0123,CMP0049,CG_CL0123,CNS/Brain,test
S025752,CL0123,CMP0050,CG_CL0123,CNS/Brain,test
S025755,CL0123,CMP0053,CG_CL0123,CNS/Brain,test
S025756,CL0123,CMP0054,CG_CL0123,CNS/Brain,test
S025757,CL0123,CMP0055,CG_CL0123,CNS/Brain,test
S025758,CL0123,CMP0056,CG_CL0123,CNS/Brain,test
S025759,CL0123,CMP0057,CG_CL0123,CNS/Brain,test
S025760,CL0123,CMP0058,CG_CL0123,CNS/Brain,test
S025761,CL0123,CMP0059,CG_CL0123,CNS/Brain,test
S025762,CL0123,CMP0060,CG_CL0123,CNS/Brain,test
S025763,CL0123,CMP0061,CG_CL0123,CNS/Brain,test
S025764,CL0123,CMP0062,CG_CL0123,CNS/Brain,test
S025765,CL0123,CMP0063,CG_CL0123,CNS/Brain,test
S025766,CL0123,CMP0064,CG_CL0123,CNS/Brain,test
S025767,CL0123,CMP0067,CG_CL0123,CNS/Brain,test
S025768,CL0123,CMP0068,CG_CL0123,CNS/Brain,test
S025769,CL0123,CMP0070,CG_CL0123,CNS/Brain,test
S025770,CL0123,CMP0072,CG_CL0123,CNS/Brain,test
S025771,CL0123,CMP0073,CG_CL0123,CNS/Brain,test
S025772,CL0123,CMP0074,CG_CL0123,CNS/Brain,test
S025773,CL0123,CMP0075,CG_CL0123,CNS/Brain,test
S025774,CL0123,CMP0076,CG_CL0123,CNS/Brain,test
S025775,CL0123,CMP0077,CG_CL0123,CNS/Brain,test
S025777,CL0123,CMP0081,CG_CL0123,CNS/Brain,test
S025778,CL0123,CMP0082,CG_CL0123,CNS/Brain,test
S025779,CL0123,CMP0083,CG_CL0123,CNS/Brain,test
S025780,CL0123,CMP0086,CG_CL0123,CNS/Brain,test
S025781,CL0123,CMP0087,CG_CL0123,CNS/Brain,test
S025783,CL0123,CMP0089,CG_CL0123,CNS/Brain,test
S025784,CL0123,CMP0090,CG_CL0123,CNS/Brain,test
S025785,CL0123,CMP0091,CG_CL0123,CNS/Brain,test
S025786,CL0123,CMP0092,CG_CL0123,CNS/Brain,test
S025787,CL0123,CMP0093,CG_CL0123,CNS/Brain,test
S025788,CL0123,CMP0094,CG_CL0123,CNS/Brain,test
S025789,CL0123,CMP0095,CG_CL0123,CNS/Brain,test
S025790,CL0123,CMP0096,CG_CL0123,CNS/Brain,test
S025791,CL0123,CMP0097,CG_CL0123,CNS/Brain,test
S025792,CL0123,CMP0098,CG_CL0123,CNS/Brain,test
S025793,CL0123,CMP0100,CG_CL0123,CNS/Brain,test
S025794,CL0123,CMP0101,CG_CL0123,CNS/Brain,test
S025796,CL0123,CMP0103,CG_CL0123,CNS/Brain,test
S025797,CL0123,CMP0104,CG_CL0123,CNS/Brain,test
S025798,CL0123,CMP0105,CG_CL0123,CNS/Brain,test
S025799,CL0123,CMP0106,CG_CL0123,CNS/Brain,test
S025801,CL0123,CMP0108,CG_CL0123,CNS/Brain,test
S025802,CL0123,CMP0109,CG_CL0123,CNS/Brain,test
S025803,CL0123,CMP0110,CG_CL0123,CNS/Brain,test
S025805,CL0123,CMP0112,CG_CL0123,CNS/Brain,test
S025806,CL0123,CMP0113,CG_CL0123,CNS/Brain,test
S025807,CL0123,CMP0114,CG_CL0123,CNS/Brain,test
S025808,CL0123,CMP0115,CG_CL0123,CNS/Brain,test
S025809,CL0123,CMP0116,CG_CL0123,CNS/Brain,test
S025810,CL0123,CMP0117,CG_CL0123,CNS/Brain,test
S025811,CL0123,CMP0118,CG_CL0123,CNS/Brain,test
S025812,CL0123,CMP0119,CG_CL0123,CNS/Brain,test
S025814,CL0123,CMP0121,CG_CL0123,CNS/Brain,test
S025815,CL0123,CMP0122,CG_CL0123,CNS/Brain,test
S025816,CL0123,CMP0123,CG_CL0123,CNS/Brain,test
S025817,CL0123,CMP0124,CG_CL0123,CNS/Brain,test
S025818,CL0123,CMP0125,CG_CL0123,CNS/Brain,test
S025819,CL0123,CMP0126,CG_CL0123,CNS/Brain,test
S025820,CL0123,CMP0127,CG_CL0123,CNS/Brain,test
S025821,CL0123,CMP0128,CG_CL0123,CNS/Brain,test
S025822,CL0123,CMP0129,CG_CL0123,CNS/Brain,test
S025823,CL0123,CMP0130,CG_CL0123,CNS/Brain,test
S025824,CL0123,CMP0131,CG_CL0123,CNS/Brain,test
S025826,CL0123,CMP0133,CG_CL0123,CNS/Brain,test
S025827,CL0123,CMP0134,CG_CL0123,CNS/Brain,test
S025828,CL0123,CMP0135,CG_CL0123,CNS/Brain,test
S025830,CL0123,CMP0137,CG_CL0123,CNS/Brain,test
S025831,CL0123,CMP0138,CG_CL0123,CNS/Brain,test
S025832,CL0123,CMP0139,CG_CL0123,CNS/Brain,test
S025834,CL0123,CMP0141,CG_CL0123,CNS/Brain,test
S025835,CL0123,CMP0142,CG_CL0123,CNS/Brain,test
S025836,CL0123,CMP0143,CG_CL0123,CNS/Brain,test
S025837,CL0123,CMP0144,CG_CL0123,CNS/Brain,test
S025838,CL0123,CMP0145,CG_CL0123,CNS/Brain,test
S025839,CL0123,CMP0146,CG_CL0123,CNS/Brain,test
S025843,CL0123,CMP0150,CG_CL0123,CNS/Brain,test
S025844,CL0123,CMP0151,CG_CL0123,CNS/Brain,test
S025846,CL0123,CMP0153,CG_CL0123,CNS/Brain,test
S025847,CL0123,CMP0154,CG_CL0123,CNS/Brain,test
S025848,CL0123,CMP0155,CG_CL0123,CNS/Brain,test
S025849,CL0123,CMP0156,CG_CL0123,CNS/Brain,test
S025850,CL0123,CMP0157,CG_CL0123,CNS/Brain,test
S025851,CL0123,CMP0158,CG_CL0123,CNS/Brain,test
S025852,CL0123,CMP0159,CG_CL0123,CNS/Brain,test
S025853,CL0123,CMP0160,CG_CL0123,CNS/Brain,test
S025854,CL0123,CMP0161,CG_CL0123,CNS/Brain,test
S025855,CL0123,CMP0162,CG_CL0123,CNS/Brain,test
S025856,CL0123,CMP0163,CG_CL0123,CNS/Brain,test
S025858,CL0123,CMP0165,CG_CL0123,CNS/Brain,test
S025859,CL0123,CMP0166,CG_CL0123,CNS/Brain,test
S025860,CL0123,CMP0167,CG_CL0123,CNS/Brain,test
S025861,CL0123,CMP0168,CG_CL0123,CNS/Brain,test
S025862,CL0123,CMP0169,CG_CL0123,CNS/Brain,test
S025863,CL0123,CMP0170,CG_CL0123,CNS/Brain,test
S025864,CL0123,CMP0171,CG_CL0123,CNS/Brain,test
S025865,CL0123,CMP0172,CG_CL0123,CNS/Brain,test
S025866,CL0123,CMP0173,CG_CL0123,CNS/Brain,test
S025868,CL0123,CMP0175,CG_CL0123,CNS/Brain,test
S025869,CL0123,CMP0176,CG_CL0123,CNS/Brain,test
S025870,CL0123,CMP0177,CG_CL0123,CNS/Brain,test
S025871,CL0123,CMP0178,CG_CL0123,CNS/Brain,test
S025872,CL0123,CMP0179,CG_CL0123,CNS/Brain,test
S025873,CL0123,CMP0180,CG_CL0123,CNS/Brain,test
S025874,CL0123,CMP0181,CG_CL0123,CNS/Brain,test
S025875,CL0123,CMP0182,CG_CL0123,CNS/Brain,test
S025876,CL0123,CMP0183,CG_CL0123,CNS/Brain,test
S025878,CL0123,CMP0185,CG_CL0123,CNS/Brain,test
S025879,CL0123,CMP0186,CG_CL0123,CNS/Brain,test
S025880,CL0123,CMP0187,CG_CL0123,CNS/Brain,test
S025881,CL0123,CMP0188,CG_CL0123,CNS/Brain,test
S025882,CL0123,CMP0189,CG_CL0123,CNS/Brain,test
S025883,CL0123,CMP0190,CG_CL0123,CNS/Brain,test
S025884,CL0123,CMP0191,CG_CL0123,CNS/Brain,test
S025885,CL0123,CMP0192,CG_CL0123,CNS/Brain,test
S025886,CL0123,CMP0193,CG_CL0123,CNS/Brain,test
S025887,CL0123,CMP0194,CG_CL0123,CNS/Brain,test
S025888,CL0123,CMP0195,CG_CL0123,CNS/Brain,test
S025889,CL0123,CMP0196,CG_CL0123,CNS/Brain,test
S025890,CL0123,CMP0197,CG_CL0123,CNS/Brain,test
S025893,CL0123,CMP0200,CG_CL0123,CNS/Brain,test
S025894,CL0123,CMP0201,CG_CL0123,CNS/Brain,test
S025895,CL0123,CMP0202,CG_CL0123,CNS/Brain,test
S025896,CL0123,CMP0203,CG_CL0123,CNS/Brain,test
S025897,CL0123,CMP0204,CG_CL0123,CNS/Brain,test
S025899,CL0123,CMP0206,CG_CL0123,CNS/Brain,test
S025900,CL0123,CMP0207,CG_CL0123,CNS/Brain,test
S025901,CL0123,CMP0208,CG_CL0123,CNS/Brain,test
S025902,CL0123,CMP0209,CG_CL0123,CNS/Brain,test
S025903,CL0123,CMP0210,CG_CL0123,CNS/Brain,test
S025904,CL0123,CMP0211,CG_CL0123,CNS/Brain,test
S025906,CL0123,CMP0213,CG_CL0123,CNS/Brain,test
S025907,CL0123,CMP0214,CG_CL0123,CNS/Brain,test
S025908,CL0123,CMP0216,CG_CL0123,CNS/Brain,test
S025909,CL0123,CMP0217,CG_CL0123,CNS/Brain,test
S025910,CL0123,CMP0218,CG_CL0123,CNS/Brain,test
S025911,CL0123,CMP0219,CG_CL0123,CNS/Brain,test
S025912,CL0123,CMP0220,CG_CL0123,CNS/Brain,test
S025913,CL0123,CMP0221,CG_CL0123,CNS/Brain,test
S025914,CL0123,CMP0222,CG_CL0123,CNS/Brain,test
S025915,CL0123,CMP0223,CG_CL0123,CNS/Brain,test
S025916,CL0123,CMP0224,CG_CL0123,CNS/Brain,test
S025918,CL0123,CMP0226,CG_CL0123,CNS/Brain,test
S025921,CL0123,CMP0229,CG_CL0123,CNS/Brain,test
S025922,CL0123,CMP0231,CG_CL0123,CNS/Brain,test
S025923,CL0123,CMP0232,CG_CL0123,CNS/Brain,test
S025924,CL0123,CMP0233,CG_CL0123,CNS/Brain,test
S025925,CL0123,CMP0234,CG_CL0123,CNS/Brain,test
S025926,CL0123,CMP0237,CG_CL0123,CNS/Brain,test
S025927,CL0123,CMP0238,CG_CL0123,CNS/Brain,test
S025931,CL0123,CMP0242,CG_CL0123,CNS/Brain,test
S025932,CL0124,CMP0001,CG_CL0124,Thyroid,test
S025933,CL0124,CMP0002,CG_CL0124,Thyroid,test
S025934,CL0124,CMP0003,CG_CL0124,Thyroid,test
S025935,CL0124,CMP0004,CG_CL0124,Thyroid,test
S025936,CL0124,CMP0005,CG_CL0124,Thyroid,test
S025937,CL0124,CMP0006,CG_CL0124,Thyroid,test
S025938,CL0124,CMP0008,CG_CL0124,Thyroid,test
S025939,CL0124,CMP0009,CG_CL0124,Thyroid,test
S025940,CL0124,CMP0010,CG_CL0124,Thyroid,test
S025943,CL0124,CMP0013,CG_CL0124,Thyroid,test
S025944,CL0124,CMP0014,CG_CL0124,Thyroid,test
S025945,CL0124,CMP0015,CG_CL0124,Thyroid,test
S025946,CL0124,CMP0016,CG_CL0124,Thyroid,test
S025947,CL0124,CMP0017,CG_CL0124,Thyroid,test
S025948,CL0124,CMP0018,CG_CL0124,Thyroid,test
S025949,CL0124,CMP0019,CG_CL0124,Thyroid,test
S025950,CL0124,CMP0020,CG_CL0124,Thyroid,test
S025951,CL0124,CMP0021,CG_CL0124,Thyroid,test
S025952,CL0124,CMP0022,CG_CL0124,Thyroid,test
S025953,CL0124,CMP0023,CG_CL0124,Thyroid,test
S025954,CL0124,CMP0024,CG_CL0124,Thyroid,test
S025956,CL0124,CMP0027,CG_CL0124,Thyroid,test
S025957,CL0124,CMP0028,CG_CL0124,Thyroid,test
S025958,CL0124,CMP0029,CG_CL0124,Thyroid,test
S025959,CL0124,CMP0030,CG_CL0124,Thyroid,test
S025961,CL0124,CMP0034,CG_CL0124,Thyroid,test
S025962,CL0124,CMP0035,CG_CL0124,Thyroid,test
S025963,CL0124,CMP0036,CG_CL0124,Thyroid,test
S025964,CL0124,CMP0037,CG_CL0124,Thyroid,test
S025965,CL0124,CMP0038,CG_CL0124,Thyroid,test
S025966,CL0124,CMP0039,CG_CL0124,Thyroid,test
S025967,CL0124,CMP0040,CG_CL0124,Thyroid,test
S025968,CL0124,CMP0041,CG_CL0124,Thyroid,test
S025969,CL0124,CMP0042,CG_CL0124,Thyroid,test
S025970,CL0124,CMP0043,CG_CL0124,Thyroid,test
S025971,CL0124,CMP0044,CG_CL0124,Thyroid,test
S025972,CL0124,CMP0045,CG_CL0124,Thyroid,test
S025973,CL0124,CMP0046,CG_CL0124,Thyroid,test
S025974,CL0124,CMP0047,CG_CL0124,Thyroid,test
S025975,CL0124,CMP0048,CG_CL0124,Thyroid,test
S025976,CL0124,CMP0049,CG_CL0124,Thyroid,test
S025977,CL0124,CMP0050,CG_CL0124,Thyroid,test
S025980,CL0124,CMP0053,CG_CL0124,Thyroid,test
S025981,CL0124,CMP0054,CG_CL0124,Thyroid,test
S025982,CL0124,CMP0055,CG_CL0124,Thyroid,test
S025983,CL0124,CMP0056,CG_CL0124,Thyroid,test
S025984,CL0124,CMP0057,CG_CL0124,Thyroid,test
S025985,CL0124,CMP0058,CG_CL0124,Thyroid,test
S025986,CL0124,CMP0059,CG_CL0124,Thyroid,test
S025987,CL0124,CMP0060,CG_CL0124,Thyroid,test
S025988,CL0124,CMP0061,CG_CL0124,Thyroid,test
S025989,CL0124,CMP0062,CG_CL0124,Thyroid,test
S025990,CL0124,CMP0063,CG_CL0124,Thyroid,test
S025991,CL0124,CMP0064,CG_CL0124,Thyroid,test
S025992,CL0124,CMP0067,CG_CL0124,Thyroid,test
S025993,CL0124,CMP0068,CG_CL0124,Thyroid,test
S025994,CL0124,CMP0070,CG_CL0124,Thyroid,test
S025995,CL0124,CMP0072,CG_CL0124,Thyroid,test
S025996,CL0124,CMP0073,CG_CL0124,Thyroid,test
S025997,CL0124,CMP0074,CG_CL0124,Thyroid,test
S025998,CL0124,CMP0075,CG_CL0124,Thyroid,test
S025999,CL0124,CMP0076,CG_CL0124,Thyroid,test
S026000,CL0124,CMP0077,CG_CL0124,Thyroid,test
S026002,CL0124,CMP0081,CG_CL0124,Thyroid,test
S026003,CL0124,CMP0082,CG_CL0124,Thyroid,test
S026004,CL0124,CMP0083,CG_CL0124,Thyroid,test
S026005,CL0124,CMP0086,CG_CL0124,Thyroid,test
S026006,CL0124,CMP0087,CG_CL0124,Thyroid,test
S026008,CL0124,CMP0089,CG_CL0124,Thyroid,test
S026009,CL0124,CMP0090,CG_CL0124,Thyroid,test
S026010,CL0124,CMP0091,CG_CL0124,Thyroid,test
S026011,CL0124,CMP0092,CG_CL0124,Thyroid,test
S026012,CL0124,CMP0093,CG_CL0124,Thyroid,test
S026013,CL0124,CMP0094,CG_CL0124,Thyroid,test
S026014,CL0124,CMP0095,CG_CL0124,Thyroid,test
S026015,CL0124,CMP0096,CG_CL0124,Thyroid,test
S026016,CL0124,CMP0097,CG_CL0124,Thyroid,test
S026017,CL0124,CMP0098,CG_CL0124,Thyroid,test
S026018,CL0124,CMP0100,CG_CL0124,Thyroid,test
S026019,CL0124,CMP0101,CG_CL0124,Thyroid,test
S026021,CL0124,CMP0103,CG_CL0124,Thyroid,test
S026022,CL0124,CMP0104,CG_CL0124,Thyroid,test
S026023,CL0124,CMP0105,CG_CL0124,Thyroid,test
S026024,CL0124,CMP0106,CG_CL0124,Thyroid,test
S026026,CL0124,CMP0108,CG_CL0124,Thyroid,test
S026027,CL0124,CMP0109,CG_CL0124,Thyroid,test
S026028,CL0124,CMP0110,CG_CL0124,Thyroid,test
S026030,CL0124,CMP0112,CG_CL0124,Thyroid,test
S026031,CL0124,CMP0113,CG_CL0124,Thyroid,test
S026032,CL0124,CMP0114,CG_CL0124,Thyroid,test
S026033,CL0124,CMP0115,CG_CL0124,Thyroid,test
S026034,CL0124,CMP0116,CG_CL0124,Thyroid,test
S026035,CL0124,CMP0117,CG_CL0124,Thyroid,test
S026036,CL0124,CMP0118,CG_CL0124,Thyroid,test
S026037,CL0124,CMP0119,CG_CL0124,Thyroid,test
S026039,CL0124,CMP0121,CG_CL0124,Thyroid,test
S026040,CL0124,CMP0122,CG_CL0124,Thyroid,test
S026041,CL0124,CMP0123,CG_CL0124,Thyroid,test
S026042,CL0124,CMP0124,CG_CL0124,Thyroid,test
S026043,CL0124,CMP0125,CG_CL0124,Thyroid,test
S026044,CL0124,CMP0126,CG_CL0124,Thyroid,test
S026045,CL0124,CMP0127,CG_CL0124,Thyroid,test
S026046,CL0124,CMP0128,CG_CL0124,Thyroid,test
S026047,CL0124,CMP0129,CG_CL0124,Thyroid,test
S026048,CL0124,CMP0130,CG_CL0124,Thyroid,test
S026049,CL0124,CMP0131,CG_CL0124,Thyroid,test
S026051,CL0124,CMP0133,CG_CL0124,Thyroid,test
S026052,CL0124,CMP0134,CG_CL0124,Thyroid,test
S026053,CL0124,CMP0135,CG_CL0124,Thyroid,test
S026055,CL0124,CMP0137,CG_CL0124,Thyroid,test
S026056,CL0124,CMP0138,CG_CL0124,Thyroid,test
S026057,CL0124,CMP0139,CG_CL0124,Thyroid,test
S026059,CL0124,CMP0141,CG_CL0124,Thyroid,test
S026060,CL0124,CMP0142,CG_CL0124,Thyroid,test
S026061,CL0124,CMP0143,CG_CL0124,Thyroid,test
S026062,CL0124,CMP0144,CG_CL0124,Thyroid,test
S026063,CL0124,CMP0145,CG_CL0124,Thyroid,test
S026064,CL0124,CMP0146,CG_CL0124,Thyroid,test
S026068,CL0124,CMP0150,CG_CL0124,Thyroid,test
S026069,CL0124,CMP0151,CG_CL0124,Thyroid,test
S026071,CL0124,CMP0153,CG_CL0124,Thyroid,test
S026072,CL0124,CMP0154,CG_CL0124,Thyroid,test
S026073,CL0124,CMP0155,CG_CL0124,Thyroid,test
S026074,CL0124,CMP0156,CG_CL0124,Thyroid,test
S026075,CL0124,CMP0157,CG_CL0124,Thyroid,test
S026076,CL0124,CMP0158,CG_CL0124,Thyroid,test
S026077,CL0124,CMP0159,CG_CL0124,Thyroid,test
S026078,CL0124,CMP0160,CG_CL0124,Thyroid,test
S026079,CL0124,CMP0161,CG_CL0124,Thyroid,test
S026080,CL0124,CMP0162,CG_CL0124,Thyroid,test
S026081,CL0124,CMP0163,CG_CL0124,Thyroid,test
S026083,CL0124,CMP0165,CG_CL0124,Thyroid,test
S026084,CL0124,CMP0166,CG_CL0124,Thyroid,test
S026085,CL0124,CMP0167,CG_CL0124,Thyroid,test
S026086,CL0124,CMP0168,CG_CL0124,Thyroid,test
S026087,CL0124,CMP0169,CG_CL0124,Thyroid,test
S026088,CL0124,CMP0170,CG_CL0124,Thyroid,test
S026089,CL0124,CMP0171,CG_CL0124,Thyroid,test
S026090,CL0124,CMP0172,CG_CL0124,Thyroid,test
S026091,CL0124,CMP0173,CG_CL0124,Thyroid,test
S026093,CL0124,CMP0175,CG_CL0124,Thyroid,test
S026094,CL0124,CMP0176,CG_CL0124,Thyroid,test
S026095,CL0124,CMP0177,CG_CL0124,Thyroid,test
S026096,CL0124,CMP0178,CG_CL0124,Thyroid,test
S026097,CL0124,CMP0179,CG_CL0124,Thyroid,test
S026098,CL0124,CMP0180,CG_CL0124,Thyroid,test
S026099,CL0124,CMP0181,CG_CL0124,Thyroid,test
S026100,CL0124,CMP0182,CG_CL0124,Thyroid,test
S026101,CL0124,CMP0183,CG_CL0124,Thyroid,test
S026103,CL0124,CMP0185,CG_CL0124,Thyroid,test
S026104,CL0124,CMP0186,CG_CL0124,Thyroid,test
S026105,CL0124,CMP0187,CG_CL0124,Thyroid,test
S026106,CL0124,CMP0188,CG_CL0124,Thyroid,test
S026107,CL0124,CMP0189,CG_CL0124,Thyroid,test
S026108,CL0124,CMP0190,CG_CL0124,Thyroid,test
S026109,CL0124,CMP0191,CG_CL0124,Thyroid,test
S026110,CL0124,CMP0192,CG_CL0124,Thyroid,test
S026111,CL0124,CMP0193,CG_CL0124,Thyroid,test
S026112,CL0124,CMP0194,CG_CL0124,Thyroid,test
S026113,CL0124,CMP0195,CG_CL0124,Thyroid,test
S026114,CL0124,CMP0196,CG_CL0124,Thyroid,test
S026115,CL0124,CMP0197,CG_CL0124,Thyroid,test
S026118,CL0124,CMP0200,CG_CL0124,Thyroid,test
S026119,CL0124,CMP0201,CG_CL0124,Thyroid,test
S026120,CL0124,CMP0202,CG_CL0124,Thyroid,test
S026121,CL0124,CMP0203,CG_CL0124,Thyroid,test
S026122,CL0124,CMP0204,CG_CL0124,Thyroid,test
S026124,CL0124,CMP0206,CG_CL0124,Thyroid,test
S026125,CL0124,CMP0207,CG_CL0124,Thyroid,test
S026126,CL0124,CMP0208,CG_CL0124,Thyroid,test
S026127,CL0124,CMP0209,CG_CL0124,Thyroid,test
S026128,CL0124,CMP0210,CG_CL0124,Thyroid,test
S026129,CL0124,CMP0211,CG_CL0124,Thyroid,test
S026131,CL0124,CMP0213,CG_CL0124,Thyroid,test
S026132,CL0124,CMP0214,CG_CL0124,Thyroid,test
S026133,CL0124,CMP0224,CG_CL0124,Thyroid,test
S026135,CL0124,CMP0226,CG_CL0124,Thyroid,test
S026138,CL0124,CMP0229,CG_CL0124,Thyroid,test
S026139,CL0124,CMP0232,CG_CL0124,Thyroid,test
S026140,CL0124,CMP0233,CG_CL0124,Thyroid,test
S026141,CL0124,CMP0234,CG_CL0124,Thyroid,test
S026142,CL0124,CMP0237,CG_CL0124,Thyroid,test
S026143,CL0124,CMP0238,CG_CL0124,Thyroid,test
S026147,CL0124,CMP0242,CG_CL0124,Thyroid,test
S026148,CL0125,CMP0001,CG_CL0125,Bowel,test
S026149,CL0125,CMP0002,CG_CL0125,Bowel,test
